word1 word2 word3 word4 analogous_word similarity
Athens Greece Baghdad Iraq Iraqi 0.6351870894432068
Athens Greece Bangkok Thailand Thailand 0.7137669324874878
Athens Greece Beijing China China 0.7235777974128723
Athens Greece Berlin Germany Germany 0.6734622120857239
Athens Greece Bern Switzerland Switzerland 0.4919748306274414
Athens Greece Cairo Egypt Egypt 0.7527809739112854
Athens Greece Canberra Australia Australia 0.583732545375824
Athens Greece Hanoi Vietnam Viet_Nam 0.6276341676712036
Athens Greece Havana Cuba Cuba 0.6460992097854614
Athens Greece Helsinki Finland Finland 0.6899983882904053
Athens Greece Islamabad Pakistan Pakistan 0.7233326435089111
Athens Greece Kabul Afghanistan Afghan 0.6160915493965149
Athens Greece London England Britain 0.5646188259124756
Athens Greece Madrid Spain Spain 0.703661322593689
Athens Greece Moscow Russia Russia 0.7382972240447998
Athens Greece Oslo Norway Norway 0.6470743417739868
Athens Greece Ottawa Canada Canada 0.5912168025970459
Athens Greece Paris France France 0.6724624633789062
Athens Greece Rome Italy Italy 0.682619035243988
Athens Greece Stockholm Sweden Sweden 0.6757243871688843
Athens Greece Tehran Iran Iran 0.7671369910240173
Athens Greece Tokyo Japan Japan 0.7256094217300415
Baghdad Iraq Bangkok Thailand Thailand 0.6745353937149048
Baghdad Iraq Beijing China China 0.6915649175643921
Baghdad Iraq Berlin Germany Germany 0.6057408452033997
Baghdad Iraq Bern Switzerland coach_Bobby_Curlings 0.4347156882286072
Baghdad Iraq Cairo Egypt Egypt 0.6848488450050354
Baghdad Iraq Canberra Australia Mr_Rudd 0.6186108589172363
Baghdad Iraq Hanoi Vietnam Vietnam 0.7493551969528198
Baghdad Iraq Havana Cuba Cuba 0.713325560092926
Baghdad Iraq Helsinki Finland Finland 0.5972561240196228
Baghdad Iraq Islamabad Pakistan Pakistan 0.7466936707496643
Baghdad Iraq Kabul Afghanistan Afghanistan 0.8359360098838806
Baghdad Iraq London England Britain 0.5853632092475891
Baghdad Iraq Madrid Spain Spain 0.6144676804542542
Baghdad Iraq Moscow Russia Russia 0.723621129989624
Baghdad Iraq Oslo Norway Norway 0.5987579822540283
Baghdad Iraq Ottawa Canada Prime_Minister_Jean_Chrétien 0.5704855918884277
Baghdad Iraq Paris France France 0.6203721165657043
Baghdad Iraq Rome Italy Italy 0.5362657904624939
Baghdad Iraq Stockholm Sweden Sweden 0.5907803177833557
Baghdad Iraq Tehran Iran Iran 0.8114987015724182
Baghdad Iraq Tokyo Japan Japan 0.7056295871734619
Baghdad Iraq Athens Greece Greece 0.5793530344963074
Bangkok Thailand Beijing China China 0.8263983726501465
Bangkok Thailand Berlin Germany Germany 0.7295198440551758
Bangkok Thailand Bern Switzerland Switzerland 0.5047770142555237
Bangkok Thailand Cairo Egypt Egypt 0.811871349811554
Bangkok Thailand Canberra Australia Australia 0.7154912352561951
Bangkok Thailand Hanoi Vietnam Viet_Nam 0.7700591087341309
Bangkok Thailand Havana Cuba Cuba 0.800740659236908
Bangkok Thailand Helsinki Finland Finland 0.7515273094177246
Bangkok Thailand Islamabad Pakistan Pakistan 0.797675371170044
Bangkok Thailand Kabul Afghanistan Afghanistan 0.6666889786720276
Bangkok Thailand London England Britain 0.6576253175735474
Bangkok Thailand Madrid Spain Spain 0.765529990196228
Bangkok Thailand Moscow Russia Russia 0.8613656759262085
Bangkok Thailand Oslo Norway Norway 0.7142738103866577
Bangkok Thailand Ottawa Canada Canada 0.6684818267822266
Bangkok Thailand Paris France France 0.7388159036636353
Bangkok Thailand Rome Italy Italy 0.6863130331039429
Bangkok Thailand Stockholm Sweden Sweden 0.7587180137634277
Bangkok Thailand Tehran Iran Iran 0.8363437652587891
Bangkok Thailand Tokyo Japan Japan 0.8282635807991028
Bangkok Thailand Athens Greece Greece 0.6765021681785583
Bangkok Thailand Baghdad Iraq Iraqi 0.6885136365890503
Beijing China Berlin Germany Germany 0.7232258319854736
Beijing China Bern Switzerland Bern_NC 0.4655816853046417
Beijing China Cairo Egypt Egypt 0.7653076648712158
